id,name,credits,college,prereqs
BIOE 101,Responsible Conduct of Research,1,College of Engineering,
BIOE 120A,Molecular Bioengineering,3,College of Engineering,"CHEM 1B, CHEM 1BL, MATH 6B, PHYS 7B"
BIOE 120B,Cellular Bioengineering,3,College of Engineering,"| BIOE 120A, ENGR 120A"
BIOE 201,Responsible Conduct of Research,2,College of Engineering,
BIOE 210,Biomolecular and Biochemical Methods,3,College of Engineering,
BIOE 211,Quantitative Experiments,3,College of Engineering,
BIOE 212,Great Experiments,4,College of Engineering,"BIOE 210, BIOE 211"
BIOE 220A,Molecular Bioengineering,3,College of Engineering,"MATH 6B, PHYS 3 | CHEM 1B, CHEM 2B"
BIOE 220B,Cell and Tissue Bioengineering,3,College of Engineering,ENGR 220A
BIOE 225,Current Topics in Bioengineering,1,College of Engineering,
BIOE 230,Bioengineering Student Seminar,1,College of Engineering,
BIOE 230A,Bioengineering Faculty Seminar,1,College of Engineering,
BIOE 230B, Professional Development in Bioengineering,2,College of Engineering,
BIOE 240,"Haptics: Touch Perception, Interaction, and Engineering",4,College of Engineering,
BIOE 241,Engineering Biomaterials,3,College of Engineering,
BIOE 242,Tissue Engineering and Regenerative Medicine,3,College of Engineering,
BIOE 243,Protein Engineering,3,College of Engineering,"CHEM 1A, CHEM 1B, CHEM 1C, CHEM 109A, MCDB 1A"
BIOE 244,Introduction to Machine Learning  for Processing of Biological Images and Structural Biology,3,College of Engineering,
BIOE 250,Special Topics in Biological Engineering,99,College of Engineering,
BIOE 250AA,Tissue Engineering and Regenerative Medicine,3,College of Engineering,
BIOE 250AB,Protein Engineering,3,College of Engineering,"CHEM 1A, CHEM 1B, CHEM 1C, CHEM 109A, MCDB 1A"
BIOE 250AC,Introduction to Machine Learning  for Processing of Biological Images and Structural Biology,99,College of Engineering,
BIOE 250AD,Special Topics in Biological Computing,3,College of Engineering,
BIOE 250AE,Gene Therapy,99,College of Engineering,
BIOE 250AF,Microalgae: Biotechnology and Applications,99,College of Engineering,
BIOE 254,Engineering Approaches to Systems Biology,3,College of Engineering,
BIOE 256,Stem Cell Biology,3,College of Engineering,
BIOE 258,Methods in Mechanobiology and Biofabrication,3,College of Engineering,
BIOE 272,Omics-enabled Biotechnology,3,College of Engineering,
BIOE 274,Model-Guided Engineering of Biological Systems,3,College of Engineering,
BIOE 299,Independent Study,20,College of Engineering,
BIOE 493,Internship in Industry,3,College of Engineering,
BIOE 596,Directed Research,99,College of Engineering,
CH E 10,Material and Energy Balances,3,College of Engineering,"CH E 5 | CHEM 1A, CHEM 1B, CHEM 1C, CHEM 3A, CHEM 3B, CHEM 3C; MATH 2A, MATH 3A; MATH 2B, MATH 3B; MATH 4A, MATH 4AI"
CH E 102,Biomaterials and Biosurfaces,3,College of Engineering,
CH E 107,Introduction to Biological Processing,3,College of Engineering,CH E 10
CH E 110A,Chemical Engineering Thermodynamics,3,College of Engineering,"CH E 5, CH E 10 | MATH 4B, MATH 4BI"
CH E 110B,Chemical Engineering Thermodynamics,3,College of Engineering,"CH E 110A | MATH 4B, MATH 4BI"
CH E 118,Technical Communication of Chemical Engineering,1,College of Engineering,CH E 110A
CH E 119,Current Events in Chemical Engineering,1,College of Engineering,CH E 110A
CH E 120A,Transport Processes,4,College of Engineering,"CH E 10, MATH 6B | MATH 4B, MATH 4BI; MATH 6A, MATH 6AI"
CH E 120B,Transport Processes,3,College of Engineering,"CH E 10, CH E 110A, CH E 120A"
CH E 120C,Transport Processes,3,College of Engineering,"CH E 10, CH E 110A, CH E 110B, CH E 120B"
CH E 121,Colloids and Biosurfaces,3,College of Engineering,
CH E 124,Advanced Topics in Transport Phenomena/Safety,3,College of Engineering,"| CH E 120A, CH E 120B, CH E 120C, ME 151A, ME 151B, ME 152A"
CH E 125,Principles of Bioengineering,3,College of Engineering,
CH E 126,"Non-Newtonian Fluids, Soft Materials and Chemical Products",3,College of Engineering,CH E 120C
CH E 128,Separation Processes,3,College of Engineering,"CH E 10, CH E 110A, CH E 110B"
CH E 132A,Analytical Methods in Chemical Engineering,4,College of Engineering,"| MATH 4B, MATH 4BI; MATH 6A, MATH 6AI"
CH E 132B,Computational Methods in Chemical Engineering,3,College of Engineering,"MATH 6B, ENGR 3 | MATH 4B, MATH 4BI; MATH 6A, MATH 6AI"
CH E 132C,Statistical Methods in Chemical Engineering,3,College of Engineering,"MATH 6B | MATH 4B, MATH 4BI; MATH 6A, MATH 6AI"
CH E 140A,Chemical Reaction Engineering,3,College of Engineering,"CH E 10, CH E 110A, CH E 110B, CH E 120A, CH E 120B"
CH E 140B,Chemical Reaction Engineering,3,College of Engineering,"CH E 110A, CH E 110B, CH E 120A, CH E 120B, CH E 140A"
CH E 141,The Science and Engineering of Energy Conversion,3,College of Engineering,"| CHEM 112A, CHEM 112B, CHEM 112C, CHEM 113A, CHEM 113B, CHEM 113C"
CH E 146,Heterogeneous Catalysis,3,College of Engineering,"CH E 140A, CH E 140B"
CH E 152A,Process Dynamics and Control,4,College of Engineering,"CH E 120A, CH E 120B, CH E 120C, CH E 140A"
CH E 152B,Advanced Process Control,3,College of Engineering,CH E 152A
CH E 154,Engineering Approaches to Systems Biology,3,College of Engineering,"MATH 6B | CH E 170, CH E 107; MATH 4B, MATH 4BI; MATH 6A, MATH 6AI"
CH E 160,Introduction to Polymer Science,3,College of Engineering,"| CH E 110A, CHEM 113A"
CH E 166,Mechatronics and Instrumentation for Chemical Engineers,3,College of Engineering,"ENGR 3, CH E 110A, CH E 110B"
CH E 170,Molecular and Cellular Biology for Engineers,3,College of Engineering,"CH E 120A, CH E 120B, CH E 120C, CH E 140A"
CH E 171,Introduction to Biochemical Engineering,3,College of Engineering,"| CH E 107, CH E 170"
CH E 173,Omics-enabled Biotechnology,3,College of Engineering,"| CH E 170, CH E 107, MCDB 1A"
CH E 174,Biocircuit Design for Engineers,3,College of Engineering,"CH E 10, CH E 107"
CH E 179,Biotechnology Laboratory,4,College of Engineering,"| CH E 170, MCDB 1A, CHEM 142A, CHEM 142B"
CH E 180A,Chemical Engineering Laboratory,3,College of Engineering,"CH E 110A, CH E 120A, CH E 120B"
CH E 180B,Chemical Engineering Laboratory,3,College of Engineering,"CH E 120C, CH E 128, CH E 140A, CH E 152A"
CH E 184A,Design of Chemical Processes,3,College of Engineering,"CH E 110A, CH E 110B, CH E 120A, CH E 120B, CH E 120C, CH E 128, CH E 132B, CH E 140A, CH E 140B, CH E 152A"
CH E 184B,Design of Chemical Processes,3,College of Engineering,CH E 184A
CH E 193,Internship in Industry,12,College of Engineering,
CH E 196,Undergraduate Research,12,College of Engineering,
CH E 198,Independent Studies in Chemical Engineering,12,College of Engineering,
CH E 202,Biomaterials and Biosurfaces,3,College of Engineering,
CH E 210A,Fundamentals and Applications of Classical Thermodynamics and Statistical Mechanics,4,College of Engineering,
CH E 210B,Advanced Topics in Equilibrium Statistical Mechanics,3,College of Engineering,
CH E 210C,Statistical Mechanics,3,College of Engineering,
CH E 210D,Principles of Modern Molecular Simulation Methods,3,College of Engineering,
CH E 211A,Matrix Analysis and Computation,4,College of Engineering,
CH E 211B,Numerical Simulation,4,College of Engineering,
CH E 211C,Numerical Solution of Partial Differential Equations--Finite Difference Methods,4,College of Engineering,
CH E 211D,Numerical Solution of Partial Differential Equations--Finite Element Methods,4,College of Engineering,
CH E 216A,Introduction to Magnetic Resonance Spectroscopy Techniques,3,College of Engineering,
CH E 216B,Advanced Methods of Magnetic Resonance with Applications to Materials Science,3,College of Engineering,
CH E 220A,Advanced Transport Processes-Laminar Flow and Convective Transport Processes,4,College of Engineering,
CH E 220B,Advanced Transport Processes-Laminar Flow and Convective Transport Processes,3,College of Engineering,
CH E 220C,Advanced Transport Processes-Mass Transfer,3,College of Engineering,
CH E 220D,Complex Fluids and Rheology,3,College of Engineering,"CH E 220A, CH E 220B"
CH E 222,Colloids and Biosurfaces,3,College of Engineering,
CH E 222A,Colloids and Interfaces I,3,College of Engineering,
CH E 222B,Colloids and Interfaces II,3,College of Engineering,
CH E 228,"Non-Newtonian Fluids, Soft Materials and Chemical Products",3,College of Engineering,
CH E 230A,Advanced Theoretical Methods in Engineering,4,College of Engineering,
CH E 230B,Advanced Theoretical Methods in Engineering,3,College of Engineering,CH E 230A
CH E 230D,Statistical Methods in Chemical Engineering,3,College of Engineering,
CH E 238A,Rheology of Complex Fluids,3,College of Engineering,
CH E 240A,Advanced Chemical Reaction Engineering,3,College of Engineering,
CH E 240B,Advanced Chemical Reaction Engineering,3,College of Engineering,
CH E 240C,Advanced Catalysis,3,College of Engineering,
CH E 241,Advanced Science and Engineering of Energy Conversion,3,College of Engineering,
CH E 246,Advanced Catalysis,3,College of Engineering,
CH E 248,Reaction Rate Theory,3,College of Engineering,CHEM 248
CH E 255,Methods in Systems Biology,3,College of Engineering,
CH E 258,Protein Design and Engineering,3,College of Engineering,
CH E 260,Introduction to Polymer Science,3,College of Engineering,
CH E 266,Mechatronics and Instrumentation for Chemical Engineers,3,College of Engineering,
CH E 272,Omics-enabled Biotechnology,3,College of Engineering,
CH E 274,Model-Guided Engineering of Biological Systems,3,College of Engineering,
CH E 286,Model Predictive Control and Moving Horizon Estimation,4,College of Engineering,"| ECE 230A, ME 243A"
CH E 289A,Spectroscopy of Materials,3,College of Engineering,
CH E 290,Chemical Engineering Forum,0.5,College of Engineering,
CH E 291,Research Group Studies,99,College of Engineering,
CH E 294B,Bioengineering: Career and Development Opportunities at the Interface between Biotechnology and Engineering,2,College of Engineering,
CH E 295,"Group Studies: Controls, Dynamical Systems, and Computation",1,College of Engineering,
CH E 493,Internship in Industry,99,College of Engineering,
CH E 5,Introduction to Chemical Engineering Design,3,College of Engineering,
CH E 594,Special Topics,99,College of Engineering,
CH E 596,Directed Reading and Research,99,College of Engineering,
CH E 597,Individual Study for Master's Comprehensive Examinations and Ph.D.,99,College of Engineering,
CH E 598,Master's Thesis Research and Preparation,99,College of Engineering,
CH E 599,Dissertation Research and Preparation,99,College of Engineering,
CH E 99,Introduction to Research,6,College of Engineering,
CH E W5,Introduction to Chemical Engineering Design,3,College of Engineering,
CMPSC 1,Seminar on the Field of Computer Science,1,College of Engineering,
CMPSC 100,Introduction to Teaching Methods in Computer Science,4,College of Engineering,
CMPSC 11,Programming Language Laboratory,1,College of Engineering,
CMPSC 110,Introduction to Research in Computer Science,4,College of Engineering,"CMPSC 40, CMPSC 32"
CMPSC 111,Introduction to Computational Science,4,College of Engineering,"MATH 4B, MATH 6A, CMPSC 24"
CMPSC 11AD,Programming Language Laboratory: ADA,1,College of Engineering,
CMPSC 11AP,Programming Language Laboratory: APL,1,College of Engineering,
CMPSC 11C,Programming Language Laboratory,1,College of Engineering,
CMPSC 11CO,Programming Language Laboratory: COBOL,1,College of Engineering,
CMPSC 11FO,Programming Language Laboratory: Fortran,1,College of Engineering,
CMPSC 11JA,Programming Language Laboratory,1,College of Engineering,
CMPSC 11LI,Programming Language Laboratory: LISP,1,College of Engineering,
CMPSC 11PA,Programming Language Laboratory: Pascal,1,College of Engineering,
CMPSC 11PL,Programming Language Laboratory: PL/1,1,College of Engineering,
CMPSC 11SN,Programming Language Laboratory: SNOBOL,1,College of Engineering,
CMPSC 130A,Data Structures and Algorithms,4,College of Engineering,"| CMPSC 40, MATH 8; CMPSC 24, CMPSC 9; PSTAT 120A, ECE 139"
CMPSC 130B,Data Structures and Algorithms II,4,College of Engineering,CMPSC 130A
CMPSC 132,Algorithms Engineering,4,College of Engineering,
CMPSC 134,Randomized Algorithms,4,College of Engineering,CMPSC 130B
CMPSC 138,Automata and Formal Languages,4,College of Engineering,CMPSC 40
CMPSC 140,Parallel Scientific Computing,4,College of Engineering,"MATH 4B, MATH 6A, CMPSC 130A"
CMPSC 148,Computer Science Project,4,College of Engineering,CMPSC 32
CMPSC 153A,Hardware/Software Interface,4,College of Engineering,
CMPSC 154,Computer Architecture,4,College of Engineering,"CMPSC 32, CMPSC 64"
CMPSC 156,Advanced Applications Programming,4,College of Engineering,"CMPSC 24, CMPSC 32"
CMPSC 16,Problem Solving with Computers I,4,College of Engineering,"| MATH 3A, MATH 2A; CMPSC 8, ENGR 3, ECE 3"
CMPSC 160,Translation of Programming Languages,4,College of Engineering,"CMPSC 130A, CMPSC 138 | CMPSC 64, ECE 154, ECE 154A"
CMPSC 162,Programming Languages,4,College of Engineering,"CMPSC 130A, CMPSC 138"
CMPSC 165A,Artificial Intelligence,4,College of Engineering,CMPSC 130A
CMPSC 165B,Machine Learning,4,College of Engineering,CMPSC 130A
CMPSC 170,Operating Systems,4,College of Engineering,"CMPSC 130A | CMPSC 154, ECE 154A"
CMPSC 171,Distributed Systems,4,College of Engineering,CMPSC 130A
CMPSC 172,Software Engineering,4,College of Engineering,CMPSC 130A
CMPSC 174A,Fundamentals of Database Systems,4,College of Engineering,CMPSC 130A
CMPSC 174B,Design and Implementation Techniques of Database Systems,4,College of Engineering,CMPSC 130B
CMPSC 174N,Introduction to Databases,4,College of Engineering,CMPSC 130A
CMPSC 176A,Introduction to Computer Communication Networks,4,College of Engineering,"CMPSC 32 | PSTAT 120A, ECE 139"
CMPSC 176B,Network Computing,4,College of Engineering,CMPSC 176A
CMPSC 176C,Advanced Topics in Internet Computing,4,College of Engineering,CMPSC 176A
CMPSC 177,Computer Security,4,College of Engineering,CMPSC 170
CMPSC 178,Introduction to Cryptography,4,College of Engineering,"CMPSC 24, CMPSC 40 | PSTAT 120A, PSTAT 121A, ECE 139"
CMPSC 180,Computer Graphics,4,College of Engineering,CMPSC 130A
CMPSC 181,Introduction to Computer Vision,4,College of Engineering,
CMPSC 182,Multimedia Computing,4,College of Engineering,
CMPSC 184,Mobile Application Development,4,College of Engineering,"CMPSC 130A | CMPSC 56, CMPSC 156"
CMPSC 185,Human-Computer Interaction,4,College of Engineering,
CMPSC 186,Internet of Things (IoT) Systems,4,College of Engineering,"| CMPSC 32, CMPSC 130A"
CMPSC 188,Introduction to Natural Language Processing,4,College of Engineering,
CMPSC 189A,Senior Computer Systems Project,4,College of Engineering,"| CMPSC 48, CMPSC 56, CMPSC 148, CMPSC 156, CMPSC 172"
CMPSC 189B,Senior Computer Systems Project,4,College of Engineering,CMPSC 189A
CMPSC 190,Special Topics in Computer Science,4,College of Engineering,
CMPSC 190A,Special Topics in Computer Science: Foundations,4,College of Engineering,
CMPSC 190B,Special Topics in Computer Science: Software Systems,4,College of Engineering,
CMPSC 190C,Special Topics in Computer Science: Programming Languages and Software Engineering,4,College of Engineering,
CMPSC 190D,Special Topics in Computer Science: Information Management,4,College of Engineering,
CMPSC 190DA,Special Topics in Computer Science,4,College of Engineering,
CMPSC 190DB,Special Topics in Computer Science,4,College of Engineering,
CMPSC 190DC,Special Topics in Computer Science,4,College of Engineering,
CMPSC 190DD,Special Topics in Computer Science,4,College of Engineering,
CMPSC 190DE,Special Topics in Computer Science,4,College of Engineering,
CMPSC 190DF,Special Topics in Computer Science,4,College of Engineering,
CMPSC 190E,Special Topics in Computer Science: Architectures,4,College of Engineering,
CMPSC 190F,Special Topics in Computer Science: Networking,4,College of Engineering,
CMPSC 190G,Special Topics in Computer Science: Security,4,College of Engineering,
CMPSC 190H,Special Topics in Computer Science: Scientific Computing,4,College of Engineering,
CMPSC 190I,Special Topics in Computer Science: Intelligent and Interactive Systems,4,College of Engineering,
CMPSC 190J,Special Topics in Computer Science: General,4,College of Engineering,
CMPSC 190K,Special Topics in Computer Science: Computer Systems Modeling and Analysis,4,College of Engineering,
CMPSC 190N,Special Topics in Computer Science: General,4,College of Engineering,
CMPSC 192,Projects in Computer Science,10,College of Engineering,
CMPSC 193,Internship in Industry,12,College of Engineering,
CMPSC 196,Undergraduate Research,12,College of Engineering,
CMPSC 196B,Undergraduate Research,12,College of Engineering,"CMPSC 196, CMPSC 2"
CMPSC 199,Independent Studies in Computer Science,30,College of Engineering,
CMPSC 2,Computational Thinking for Scientists,4,College of Engineering,MATH 4A
CMPSC 209,Logic and Applications in Computer Science,4,College of Engineering,
CMPSC 211A,Matrix Analysis and Computation,4,College of Engineering,
CMPSC 211B,Numerical Simulation,4,College of Engineering,
CMPSC 211C,Numerical Solution of Partial Differential Equations--Finite Difference Methods,4,College of Engineering,
CMPSC 211D,Numerical Solution of Partial Differential Equations--Finite Element Methods,4,College of Engineering,
CMPSC 216,Level Set Methods,4,College of Engineering,"| CMPSC 211C, CH E 211C, ECE 210C, ME 210C"
CMPSC 219,Sparse Matrix Algorithms,4,College of Engineering,
CMPSC 220,Theory of Computation and Complexity,4,College of Engineering,CMPSC 186
CMPSC 225,Information Theory,4,College of Engineering,"| ECE 139, PSTAT 120A, PSTAT 120B"
CMPSC 230,"Approximations, NP-Completeness and Algorithms",4,College of Engineering,"CMPSC 130A, CMPSC 130B"
CMPSC 231,Topics in Combinatorial Algorithms,4,College of Engineering,CMPSC 130B
CMPSC 235,Computational Geometry,4,College of Engineering,"CMPSC 130A, CMPSC 130B"
CMPSC 24,Problem Solving with Computers II,4,College of Engineering,"CMPSC 16 | MATH 3B, MATH 2B"
CMPSC 240A,Applied Parallel Computing,4,College of Engineering,"CMPSC 154, CMPSC 160"
CMPSC 24A,Problem Solving with Computers II,4,College of Engineering,"CMPSC 16 | MATH 3B, MATH 2B"
CMPSC 254,Advanced Computer Architecture,4,College of Engineering,"| CMPSC 154, ECE 154"
CMPSC 260,Advanced Topics in Program Analysis,4,College of Engineering,"CMPSC 160, CMPSC 162"
CMPSC 263,Runtime Systems,4,College of Engineering,"CMPSC 154, CMPSC 160, CMPSC 162"
CMPSC 266,Formal Specification and Verification,4,College of Engineering,"CMPSC 130A, CMPSC 130B, CMPSC 186"
CMPSC 267,Automated Verification,4,College of Engineering,"CMPSC 130A, CMPSC 130B, CMPSC 138"
CMPSC 270,Operating Systems,4,College of Engineering,CMPSC 170
CMPSC 271,Advanced Topics in Distributed Systems,4,College of Engineering,CMPSC 170
CMPSC 272,Software Engineering,4,College of Engineering,
CMPSC 273,Data and Knowledge Bases,4,College of Engineering,
CMPSC 274,Advanced Topics in Database Systems,4,College of Engineering,CMPSC 170
CMPSC 276,Advanced Topics in Networking,4,College of Engineering,"| CMPSC 176A, CMPSC 176B"
CMPSC 279,Advanced Topics in Security,4,College of Engineering,CMPSC 177
CMPSC 280,Computer Graphics,4,College of Engineering,CMPSC 180
CMPSC 281,Advanced Topics in Computer Vision,4,College of Engineering,| CMPSC 181
CMPSC 281B,Advanced Topics in Computer Vision,4,College of Engineering,| CMPSC 181
CMPSC 284,Mobile Computing,4,College of Engineering,"| CMPSC 176A, CMPSC 176B"
CMPSC 285,Advanced Image Synthesis,4,College of Engineering,
CMPSC 291,"Special Topics in Computer Science, Applications",4,College of Engineering,
CMPSC 291A,"Special Topics in Computer Science, Applications, General",4,College of Engineering,
CMPSC 291D,"Special Topics in Computer Science, Applications, Database and Information Systems",4,College of Engineering,
CMPSC 291G,"Special Topics in Computer Science, Applications, Security and Cryptography",4,College of Engineering,
CMPSC 291H,"Special Topics in Computer Science, Applications, Computational Science and Engineering",4,College of Engineering,
CMPSC 291I,"Special Topics in Computer Science, Applications, Visual Computing and Interaction",4,College of Engineering,
CMPSC 291K,"Special Topics in Computer Science, Applications",4,College of Engineering,
CMPSC 292,"Special Topics in Computer Science, Foundations",4,College of Engineering,
CMPSC 292A,"Special Topics in Computer Science, Foundations, Algorithms",4,College of Engineering,
CMPSC 292C,"Special Topics in Computer Science, Foundations, Programming Languages and Software Engineering",4,College of Engineering,
CMPSC 292F,"Special Topics in Computer Science, Foundations, General",4,College of Engineering,
CMPSC 292G,"Special Topics in Computer Science, Foundations",4,College of Engineering,
CMPSC 292H,"Special Topics in Computer Science, Foundations, Computational Science and Engineering",4,College of Engineering,
CMPSC 293,"Special Topics in Computer Science, Systems",4,College of Engineering,
CMPSC 293A,"Special Topics in Computer Science, Systems",4,College of Engineering,
CMPSC 293B,"Special Topics in Computer Science, Systems",4,College of Engineering,
CMPSC 293C,"Special Topics in Computer Science, Systems, Programming Languages and Software Engineering",4,College of Engineering,
CMPSC 293D,"Special Topics in Computer Science, Systems, Database and Information Systems",4,College of Engineering,
CMPSC 293E,"Special Topics in Computer Science, Systems, Computer Architecture and Embedded Systems",4,College of Engineering,
CMPSC 293G,"Special Topics in Computer Science, Systems, Security and Cryptography",4,College of Engineering,
CMPSC 293K,"Special Topics in Computer Science, Systems, Machine Learning and Data Mining",4,College of Engineering,
CMPSC 293N,"Special Topics in Computer Science, Systems",4,College of Engineering,
CMPSC 293S,"Special Topics in Computer Science, Systems, General",4,College of Engineering,
CMPSC 32,Object Oriented Design and Implementation,4,College of Engineering,CMPSC 24
CMPSC 4,Computer Science Boot Camp,4,College of Engineering,
CMPSC 40,Foundations of Computer Science,5,College of Engineering,"CMPSC 16, MATH 4A"
CMPSC 501,Techniques of Computer Science Teaching,1,College of Engineering,
CMPSC 502,Teaching of Computer Science,99,College of Engineering,CMPSC 501
CMPSC 592,"Group Studies: Controls, Dynamical Systems, and Computation",1,College of Engineering,
CMPSC 593,Computer Science Graduate Tutorial,99,College of Engineering,
CMPSC 594,Seminar in Computer Science,99,College of Engineering,
CMPSC 595,Group Studies in Computer Science,2,College of Engineering,
CMPSC 595A,Group Studies in Computer Science: Foundations,2,College of Engineering,
CMPSC 595B,Group Studies in Computer Science: Software Systems,2,College of Engineering,
CMPSC 595C,Group Studies in Computer Science: Programming Languages and Software Engineering,2,College of Engineering,
CMPSC 595D,Group Studies in Computer Science,2,College of Engineering,
CMPSC 595E,Group Studies in Computer Science: Architecture,2,College of Engineering,
CMPSC 595F,Group Studies in Computer Science: Networking,2,College of Engineering,
CMPSC 595G,Group Studies in Computer Science: Security,2,College of Engineering,
CMPSC 595H,Group Studies in Computer Science: Scientific Computing,2,College of Engineering,
